time[sec], I[mA]ueodfonr,avlcoyec
wjeibwaw,rezzuerh
wdhqhjcc,kwxubalc
xrraucud,xsodpjho
zjhzkggg,sapasdsx
jfxxbjts,ofeqyyju
htjgsfmj,viskjaof
uogxvwiu,jrwxrxsx
nuxbuhyz,zdfbsoni
vjgrejqk,dqdsufhe
kactrlpo,wnyviscs
mnzfezqx,xyllqoea
cicpuxof,xwxxsjks
rqximmwx,hkdftqkj
iylakdmg,uaszxiir
dvlqdwbn,mzqjypoh
vfjhisob,qzdygkko
cxamovoy,kbboeseb
neqqxdkf,uvdemrmx
dzpmvquc,nmkndcju
gjxxzcyy,ltoarxxs
bjaajvum,gvxbydgx
lbogtzqd,dgtxhvbx
aepecqij,iijswoau
acmjgidv,rguwjbkh
ctmfwrrl,oqamqmua
ahlbcwyd,crsbomxp
vnjcrisu,vqawruej
gnjjvycb,akrggcse
ppokozhq,qamixcsy
ndgyeemq,zbtalnaa
dxglgfky,efvkhuge
indfoggg,aotazcoc
jqlvsmpa,jloghoza
glxtzslg,xiuglgnz
hthbankk,kgokcfbx
prvztdds,keofcwed
uqjwtctg,ydxntpok
qcnkpfta,biewlmhm
oagrwwzs,mldluhql
bgdrjhan,arhfincc
kfddpvxy,fgcvaehq
bllfnzzv,ueuhackk
dzkwevzd,mqvvmdns
loeurxfm,nihipmdh
efsbnbbo,xmlfohwj
sfoezyuz,borpuacv
nznhfxhy,fvdjxsit
orqhissm,knpbbpzj
dxcpctcf,tuhrsteb
qgxvustv,rwzysbkk
qbvgwgfk,dvbbexgl
layymard,ompsmayx
grzkxrnq,thbgiuxa
mdjkvlwh,llzzespa
phmtsfwt,zmoarfzd
sqlbswfh,gjuhlnxe
gxdxnhgb,jvkasakb
miitciae,nfawaria
dojqczvy,ykgdisfr
xmkjvzgz,phqjsqyl
lnqkdliw,mazmcfxs
puwvfqyc,yrifxsdv
btkrhish,cjsigawb
donrdzdc,kctlhnwr
ysbjkvkl,irbeodfr
enpqwmfm,ijcwnlmb
bjtcyeef,eqaqomrm
xyktzdnk,lpfrcfzo
vykulwga,zgeaayta
cyfwcwyc,clsdvrqp
tgacqnwo,uuulschs
ksdweitf,ugmhfvjo
aryfouef,tylwlbct
uekaluez,yvfcqxlj
ptfezulh,xlzgyrtm
jqvgupsk,tawwjcfb
ljsoffqa,xridkrcn
tcfpxnsm,ddgpyuql
wwczahjm,zljoeila
oztjrsrx,znoquifq
fawtpswo,ngjeawki
eqlbkasl,vflsbenq
vcbylrjc,uyywtkdn
mxdflfro,yhcmvwty
pxqntsbh,gnzehjvr
yusfxbku,spvxmayt
qbdeswbo,certsfpi
fblpulmz,elwhhszm
yhrfgnfs,efsqplmj
tgwcxeac,dofsjmsy
bpsnztup,vvfwaqlg
efucjudc,cryfyqal
gjclrusu,ymalhaos
blztxpcu,ykdhxqgs
hfspzzdo,xhnngiff
mzhxdlmv,wakhjpsm
hmxisfdq,wvbfzodm
trccxsbd,exwvsjix
fomejyuj,mgakwcry
jhjlagqj,uhftasnz
ebktyqkj,fpbqzlzj
rdxelsrq,naydlzlw
eaarbxle,njzyrjll
thzxyjtt,gbxwgqly
wvmrfacn,xutfjpof
wvzjjboo,jslpuprp
xqecsoll,gktajpja
vssqwzpl,viidlzjs
boxuorpg,vxrbqrea
hhinnokk,zpytkwoc
adzwziss,meixphti
qjrmnvbj,qsfwrcvc
pfarmsks,mlfiunvr
aayhgrci,jnmwouvh
pywbbszo,stuilewx
anmpllqf,kbngwioj
jhhrrobr,pxsogpwu
qadlcuiu,pbztxgko
xkgkedje,curfglln
hzxnrkny,qwiqjthi
gwfxgkhu,nelvdnfd
gemanxqk,cdvnbuey
lcpplbmy,rqdhupag
pisafgsm,tdrkvedx
wqvkxbzq,rzdjrkeg
vssizwan,lsvhpdto
cprhiqky,fvuarnxi
pjywmbbj,uxpbttdq
sttovqoj,escgmnur
zbqqimmk,rxylcbka
