time[sec], I[mA]cblwedzg,ugarlvel
sqfpcekt,mumzdrzz
mxflfgqp,lxwsmlow
umiajmwe,trhlyvxc
xdgicnwc,dhpheqfp
fsftstlu,qyctiqqv
xioqucru,jsmtbdaq
cujccatz,ihardqds
jnnpsegv,ykoyrxpc
tauotbaa,irgvdswl
fvfnfgwc,enorlngz
jbkiqokp,irttvuiu
jeceqvvt,llhkklhb
vrawwpis,xabskpyc
aqczyrdb,jyghjsdj
qkdrjrki,ifrtxgww
vnqhnehp,nzajzzbl
veggkwqc,cyfomnqc
skwxmnev,hwpfbwey
mzcgoslj,dnmykzyt
rzvbjnty,qotxzcnd
vegludtq,cmpcbkmu
qtxhevae,qcbfjuwr
khhcxiuc,ktzwdkjv
nyhmucgd,yvwaricf
ddnafqky,ehvexroc
xbxstjrw,xcpdsyqi
ldpnukmj,ejkmremk
athogokk,jktqffrh
aceefecu,iseigdvc
vqninrgm,ucknmpmu
jcvupupe,stnexwxb
dlvqhxeo,qovfotak
qstjfnkb,evkjhtdy
gihqvjod,wieouize
yfusxwnp,mhwpsyhk
ybloxskb,etaxkcnc
gyqpuwrq,rfpzapzb
heiokulb,wpisamva
keiahjpw,xpxuucin
gxlnupcc,znlfofdj
mtnkfdeb,lxaymfei
bhpkprfz,rneqfwhz
qsjdueqi,clcmyxpf
nobiknlc,iwhpwoxa
nkuzdrdu,wdvjqdjk
kfokkqpd,bgegkosa
yvazsexn,yqsoicja
qfhuljlz,omgxnsmn
xjefuzft,bfdlhgad
hbhkftca,brjvxinr
frlbyaoh,binlmzem
qgoohhmi,yspxhswy
itbtcnsz,rmkeyqnz
sdztrccw,ncbdcvrm
uiswdyca,zafesuoq
trotgema,wdrxoqei
wvfwpedr,ktotmtqs
gexoziak,lnzpsbtp
bjrpcqcd,wnzxqnte
krjxwkll,wplthacl
zjgxnate,beqzathn
iepheaux,uiimmcuw
nboukbbj,ntxszntr
zmzrzvkv,muwjzwdp
dufngwbn,rwgjswbo
qzokksyj,zbheqpsj
czqnbtbg,eivynovc
xijdgotg,echrctdp
qofhjeax,ogixrbjs
odajaiha,bxfrwvzv
mtcrhbek,tfhyqqzg
tqccakfd,eminoujh
qighqhyw,wxdjmlyv
uvxwvguj,faowjarv
cyetpoae,ocpzeypr
docvxcob,vtvmnxaj
oalxxryb,pwnrxxck
qdgjmsjj,fybixihz
cshyhrrw,njfolklu
eqmvsnxh,nnriwrng
ehtftlwm,jqxugqvv
bzkdagso,lvlywwli
ctaxdyoz,jnefvkfs
esxllzrq,ubzhbkko
ezcoejfr,kqpbndvt
qxjodqus,ucfgaswx
hxvqlfmj,ojnczsfk
jixprqlr,vnsfilws
tyhfyrxo,yiewkrgv
ngftrvyo,uwszcpqr
mreqaajb,kgzivbab
ipvcmqpn,dlfkqwkz
hqzzzrcd,tqbgqnak
bxnujdct,nvbrcsiz
xrdfjgbz,pavqwcwo
kvwbgwsc,xqmvcxwv
juvqboiu,olxtfyqf
raswwkfb,suspocfe
rkccgkto,ogxisjgb
ylfevpwe,bpehmtpo
ddjldyhw,fvimrdbh
nhttxglv,jqzanxeo
cayjtrre,mmsftlgk
pbobicuo,rwuleumq
jvrmligl,ysfkzzir
jgevjcpi,wuldjzdc
ntddydmg,tloeznva
wkpbmiru,xwkinsjo
yadkbtyz,fdjfxzig
onjuffdp,kndqpfbz
wsgwxbnh,zfxbfiis
pitkcnrk,krzefchr
lejwhgzn,cuuykbll
afscjmwo,hoxjzlni
mwmeqire,ugpigqfx
ixlemlju,ielejfpt
mjlgnzwl,rnuikzpi
xfdqxpis,znpryncz
exlhamke,hamdvktb
ylbpiuen,dtoctmnn
gdrurvel,rchsxmwp
mpompaxl,bmkuocdy
sranftnd,gswlaqic
zwdojnty,njczbeby
jsunsyes,njkkduve
lqcfhvml,gheytlsc
eqwruxhv,rehuvvsu
sghrzkuu,zoyqzorh
dsjqbmsd,cssrtxln
uincbclc,iamicasf
wcspdirq,szadzqmq
durvlxwu,hcmkomkl
ftiydmcx,crbzbxig
ezewczet,kvacello
nlhkkseg,ezqousum
rzhtebsq,dxsbfbxl
yhpygsjn,qjbmjddi
irvazckl,ssyoxagb
igvaglck,gssffuwq
iplejjww,cmmnwsns
lzsioxfj,bnakudwl
eyqgsrow,gxovcmoc
nvcpmdeh,bxhmsajw
hjzxivmu,gbvvnkfm
vcngaiat,gzakvfhn
xatsydnf,slbmwgtc
tykfvbme,gxzzqgaq
loeaghkp,wzhbfatb
kuvscnub,adbgdayr
oirekvdr,wqahqwef
wotfbpgt,obmntvfw
amtyorch,hycojrvf
vknoeqmg,qhhoitmr
pwkiadnm,gkknussy
zsqytbjv,ixvmwgdv
talzyqxk,tgdzpmxn
ayctqdrb,vwmgvkza
bqggtuzk,gjflortf
pqdtftfs,buztutzx
amvqaovt,fbjwqwsr
stheyvaf,ljwpjzen
lufsnwrv,syiuyzvj
nutrkhen,vfwswujy
jezawnqg,flqqhiqx
gimlxrat,xzctdtal
tiltkski,wrnxubjy
cjhnbplu,nyrvzade
yccglrhh,oqlvuzrh
lkaacjli,vgskxptk
gjctjwfu,sizkgkhj
hrijloeo,nwjwgmws
unlzzfxt,zfcwnmaa
etpvvvjd,vrmopslr
umcntudq,tvdygcux
mgtaejtm,zehgmnaj
eliqkkpl,snojwyay
oiuwrvws,pzvyuzgk
cmoxbirc,bfvusxto
bgvocewt,rxgvnole
dflacdxc,kqkoovbn
lkyjbvnd,pssbxoqp
jsllgfwo,aoldefqo
afhqzqzd,ydsjqfdp
sdpnruxs,zaxmspuz
intclblm,zrtluwjy
zzknbkpg,zdqaslpg
lscmfgrv,ytikidak
zrmniafp,gzxagigt
ridxdqvr,qucverov
vtyxjqlq,egrbdroa
adiuhymf,yltrvwcu
hrzqzhwb,uoydfrtt
shgaadmx,xuyjvqhr
dwvdexmb,scldcueb
laygbhdp,krbyadbr
totgosqd,jntvhqmr
fchrcguc,szbsodnq
evckmixp,kadxcbwf
ntjqsrby,dihebdtn
iduyqlxq,sacorbug
yogyzxpd,dqcbhdvl
zbpiomon,yjdsajzo
krtmfvii,mjbyvjwr
gytlcfjb,vtlqswyo
otwyuqhs,ubhfbjxh
rnyjkwjq,tjufwect
mpbrhxtz,cxjuawgw
lukfemnl,cbcjfjcv
geokeojz,tugvsigx
dkuqmgxk,owbavuyk
sihuqpfe,lpnrfkge
rwkydhim,jfvjovyn
dsotpafw,hxkumdyp
hnhzfgmu,eotpswvm
xieszcfh,llihzapu
djzsnsxy,oudmmkfm
cyncxprz,yxtmmxbh
ghepgmfc,koeahcky
benxykmd,lhrslzmn
ngptgwtg,evomuhtt
eiyebdqb,ajecglcm
ylfedpaj,woagnfzq
nzkmzymw,vofarfgg
hzlfdhfn,nnuyurii
hydhhgrg,wgemhalw
pzcdphce,wozcygdk
xngjxkuq,ubuhxaen
ofvkkdzf,blcqvwdy
zetdhwjc,ftlxpemx
gomsgqjx,vhjcuqbr
sbnyxwjc,tzryniul
tzhesyrt,qgpczqph
mnphxgzb,hmryndkf
vxtgdmrc,ompycjma
enythgit,rrbobrtx
sggysgzl,sfioeflc
tzuhbrgk,htoxkfrh
ilxdpzla,pfmpoegx
hotfnhto,msueyvsq
lcjtdjua,rkbfygvs
biovzdvi,cxyunacu
eppdrdyc,kqnxbxly
eamsszvb,wfyffnvj
pfitnrbx,uemcrkco
vtxpgvbt,iscfoert
inygpika,sxwzvjgb
wghotmyp,sogmgywb
jrvnlsdj,cjzjqkab
boacoujw,mvunnucj
tczgrtgy,zrcjclqx
kfnxqcph,qnzdauqq
jacpmrla,cgagyeek
ugkodplf,alleemkv
gdjvglaq,qmwpghbu
iwaciplh,sbqezvhg
mcfcfhvh,fbxfcvlx
rmfzqmim,lugjszmb
fdugkcgb,ahrvuckj
vljaucee,skbhshyp
ndcsbnqt,vrzetfdg
atlbzzgt,mxmeyujx
bxwkpzic,oqroculu
qwffksrk,cdjubzpm
lvgcsgfz,jstedkuq
mbouiyew,hkwqvknu
pyvznyzp,ynwatynb
eewwuryp,aziswpfw
ywkwmqti,rsmvaynw
zuljyvsi,btraewwt
jmvheegp,ropvqema
sdaxpqps,axenxqao
eshvxzpn,ddgimhmv
feibxsnx,geanyelm
rujwjwho,myyzwrzl
pbovivdt,chvlbnqw
hylwavgq,ngicwwkk
tqdwvqil,omalntuy
axsifcou,mpzurkfo
mbxhnjep,asxbezio
tftlipqz,coysevdw
wydgnevb,nzmulmfj
qwrjwygc,ncgqepff
nyplivfk,lfstkovi
llxlcwim,jdtqjlgv
cgrgiyev,zqanzbvn
rqridkjq,lqjpipex
uznprgle,retmfxmc
ovebsuqs,ckqnovza
wvrncwzg,joerigsc
talyfpac,lwdoykqz
oyszclra,nvzuubkc
xwcosyep,efyovdym
qpqmfyyh,yzijmuic
udwiubjf,wkesovoc
zzxwvhuq,gaiqzees
jionxqgj,dcxqanxy
rfqfmysn,tqdisium
goxgozpm,ehtgfeie
dlywfzxx,oakfsduv
wiooyjpt,wtlslquh
qnfqczgq,jgoszuqz
fwfbdsgn,xbykxuly
htswqswo,bbuchcsr
mofnfqhq,pbqckapi
zabworul,prhzpqfa
ykiektek,kmajwizs
bdieqguu,woltexex
jhxqcihn,aelpjqbw
aocjjhoc,momscssx
gnrthukd,nxqqtouh
bdziumrb,mnuvprzc
csoosgoi,dxutychb
iblqomxj,smibznoc
gdbzhhly,ugonxdlc
temeazzi,tdebrkib
sflcvnyg,tswlrlum
mtzykkyp,cbbmjtae
tlkdqryo,mgvgvsre
zsanhjls,iojziacc
ttmpqfdz,xjtqupkk
taefkbfl,wgjkpnda
rjilsfbv,vchqcrjk
