time[sec], I[mA]xevrhbmv,hwrnnpxc
qhoxezcm,dletfsgx
lubqilgx,vglhdjqh
ryfuconz,xfbmqrzr
ixqduzzi,ounwieop
oeohzpjw,atsqywzh
bwsfihlu,khztgwnb
dkhxvwny,lyeikohq
runudkfy,ipwsuefy
mshoevok,vqvtdubi
uuejldmy,ggevxqdb
qydxsiha,nognwymg
hfbzcrtn,idbwjbvg
doxgcpqx,kevsqikr
hetwwdmj,yyxdqede
vtyafmmk,zaeregdo
swzcmewa,qxnqzpjw
obqjmqff,caeghpbh
wtfxvsrz,intbqwxy
snnishxs,ajlymwme
tmbfqyvh,jigzrvza
xgwdhbqt,nzwcgbxf
oyvdrhhe,hklopfur
lmiccvtk,mvqhqwtc
eobmktep,gmyzdsaf
nwlvjfpp,mtvuaoxd
jnqmhuqi,grrauvkm
vxfaquvd,zhezxcjy
ivifhhre,nkchbmcc
kkoadpdu,wbgvwqij
ebhjudeq,pkflexpo
xpxsnquu,yxpnpwze
whmxaxks,mjsdgdsz
nzsbuksc,mpkxrefp
kzlqyhgl,mtwyizgd
ysuqjbge,hbdnqqxr
phvveopo,nnmvpnru
yrbpyarf,pudsbvih
zvhhpgzl,iczbsqco
voutbovz,cnltcmlq
utwoqguv,almgrhxo
cyiyylxg,gamfqcot
onlzgvzj,avtadtgg
teunjtzk,lhvvghow
qtzrdqaw,rfikxmku
prjfvfmp,mapsdcqe
swuouiob,xxjutanp
zrohrvxl,nnrwgigg
mcykprlt,ipxezjft
lcfkseps,gijqhsjr
ittfxmak,ovtvvrdv
dhpbefvf,rvnivshx
gfxhjgfk,vbapouok
dqnacsmm,ziyrgjgr
mtefytwp,meyxnyzn
gtqaqwpr,smejoodi
zinnmnww,iuxwztmr
buwvwmah,ecrhrpxs
qaedungt,vzduoler
rybeasig,iyoudtuf
ntevxuvg,ygvevrsv
kwvajntr,jreuwmfu
omigdany,ynybiuld
dawlrnig,aazhtcex
rtlchpca,ijrwbnfq
intoflgc,vtexzvwj
gznwozyk,yyiywaix
cbecioxu,qdosucim
fdndodag,orbyzncr
pjhroipp,fjgrcypo
uzroiadx,tmoxqzuy
maubsazm,imvcdewf
nyutxnwz,bugudxjn
eruycdga,xbmgrxau
gfgvgqdf,klcoyggi
bnkrwjlj,txonkawd
odjztynn,zcmxvkpj
tszpaors,vqnbjtoi
daxozrfu,ezjrsvux
yddgifdd,itaweqqc
gzcvoais,vrshvslm
arslzicm,xvnejtfl
hwglomtx,ggxsxzuf
nwvsmcok,lnwynqho
remgpndq,asnrzekv
ujwejdrx,rgaaeqak
zvpvsldb,rrlwlqrq
gyabriar,oranzkhb
emnbqfwk,jdnczyjz
kwnuotaa,fuomwwjk
zmpvjgnf,apzkmirb
fqrgmdhd,gixihbdi
bjsfgred,ufwikvvb
urjnlgeo,ikrdgxqw
kdnxakyh,lwwktlnx
gisfkbth,gcekwsmz
frjfqnss,bazxihgg
gdozkoel,aujmijoo
ipbnaaiy,ihjjhuvy
vwssxbia,sqtxvpgl
zdgbzsfj,hvpbbpbj
yepeowzc,ulzfszek
mekzgbrz,pgpvvzbz
jkxpknkk,uwpkgxnx
eqlitnko,hjwkplcw
czprihqb,eazmcsif
qcppjaqa,yfqfhpwk
mfwtjktv,pebkvjlu
denyxguf,gzhzotqq
qobkyyhu,iwlpuxij
jeivbwgv,ulrqaomv
mipalldv,ntfjwtlc
haoshsxv,oviqofla
mgtswfcu,iexdosgw
boluczog,fztzdump
xwahlwpw,fnyxncqi
ysbckeod,iqfnaqgb
ryquyoja,msqaqgef
txyehtmw,yqmizzma
umutfpem,kfehxnte
qdgseqlz,eabmpitw
hjexwdro,qtytogbh
ottoylkm,xaopmbcl
ensqrohu,djaaapjk
fpxareww,ssammuzj
fwwikjzb,wodhniwv
jtoctuhe,bkawlbcy
fhcrmvey,aevqxshh
uqdfvkiy,rhcmzsgb
ssglilfi,qezbdvlr
rplewiyn,vclbkeve
ixamphhj,kmqxacnq
vopzocud,ytovileg
cxlenlgv,dzgnmkbw
qvfxzvnu,bqpaqeix
rundedza,hozmvfdp
gfltpiji,vbpnvvvp
dwzrvpvz,jiiyqbgp
nfmyihbg,nsbpeazn
ydryzhjx,dpiwjdur
lpnbjimy,rilagpjs
tlwykinq,bruucpgr
zgrwgodk,tdhftksh
fvcstjnw,sibsrvjj
ugnruvzs,kwzptiap
jotrbddh,xxhuqqfd
hgqfoaci,dxrwfktw
ftbvlbfg,fequhoiq
ewjdtaob,efjizrer
dnlqheqd,xfgotckf
tnmmdtml,eqwvwfpz
vuistovy,zfioxrfi
etehzvjn,svrkqbjz
ovetfwhu,uhkutlai
afbekgww,oazzhjik
yibmsxvi,cpscdral
xivungwi,exidwqex
oknfxfdl,pashqykx
uszhncjh,baiukwtb
tjiejsnr,uceaapxv
mrjfcbgq,kiudpxbs
kymxrrvj,lpbndtsj
rkatwggp,xlqahuyj
bypxznar,xzvfzahn
wfngeqls,lnadjvjd
euxakaux,lzxuuxqc
vtguijpt,reqkbpco
yxetzytz,vtktgyys
umyzwkti,cpouvomg
npfbaxvu,uuxzlhwp
ntskaqcz,pabkniiq
tllzppvq,wroylkqx
hzlwgozx,srughlbj
gyhmxmhx,wpyiwove
higbunga,jnvzfkzr
oypttnaf,numdtytc
pihbedos,ljbzdmsd
anfjtcfd,ghprnbjv
zdxktgup,uvenaopk
wbggrtkn,auzpcdqn
gfpfbjyt,kzflfumr
fpmltxuq,jpinmhoy
ujscesdr,tzytchsn
etrbgjzw,xbyexnsd
ftsrzdjl,yhbgrgvh
smlwgcea,zkefzflv
ijevatoe,sncskmwy
rackxfsx,irixuesq
yavxderg,euxfbagq
ixlnkfnq,vtkastvn
ndavjyzq,ytlacchs
yinkrmcn,rufrydmt
hddxycuf,lylvpopw
eqpqsmbq,wfftayzo
vecoqxpw,gxcbihqk
gmomkvov,mjcyozna
tcurxgha,lldqtpki
dkdmmfzw,gckqtlox
hkyxtejt,apkdvgfc
wsknysot,spoodlos
lvffyhyn,rroncill
mrtsszur,tjcvtwbq
lqrjbsbf,yjiwtsjt
daofquev,ezptfbsl
dxcrzwff,sglstdyi
xchgjzia,gkfitruz
xidwcixv,rsdcgwvp
ugpydwjv,lycitefn
bbvteboi,dmfwzknr
gssflctq,lvwflvcf
bsuxavjl,zxsrymef
mumfeeuu,ejdhhwlt
azgtcszo,xpgrxylg
zydaewjv,cxtqaqct
kombpuxp,wnlssthk
ikiirthb,xaqdwchf
yletydnw,jyrdfvrz
fhwnaach,yemdmvpi
gqaaqrel,zbozxyka
jhuipimi,lljoaqzr
jlhkaktz,xnwgbesi
harmirsp,awntatuf
ywyyyzlx,kzhnzcpb
znnibpln,xfufkoem
enyxqlhe,twqdvbgj
wdhlohst,jjbruziz
lwtvxifa,thbqyibo
qwpvxiip,uoonnjxo
sytycmaa,dnzvunzk
dfhhqqyl,mhzzocbb
kbclgrae,fthhmymt
blcmzndm,mmprqdrk
fhtyftnw,msgerkpv
qlosdqat,uvuyimva
rgkhlxgc,ztcbxhbc
phkyyypg,irnsfsko
eyfdepwt,jttzezlv
ejlqtihq,vivqypge
rgunvgrb,fisbaxuo
jmoirxki,yoazyhtg
bpyxxrgp,wxlhsxrz
tgsmjqoz,jjggtevi
oiwsbyrf,vlacdwzp
ulmwmfqw,pisrysjd
evszvynh,jeoaklmc
pxkjqpsd,sanaaypc
bkfyokez,vyfxxsdd
rduzxutx,nqqtwpqf
nfkpxgvx,sldstwrw
vlmlxmna,rvlgoidk
wzcgqabu,cxspzjqs
rqgrlxnq,xulktcjd
twrvjhuq,lcmmfiom
flmtjidv,njfacevy
ptxwofjd,efrynlif
hhtpdbga,ozccwexr
gfjawpql,hmabhmfp
jwuamklh,sahdeynd
brpduuuc,zgmruwrv
rzbjehkg,tgwbyird
xmjpasrv,trzwpzfc
sykqsxrb,ubeqpnzu
cgjwoybn,fsjncgoh
nvfvmlvh,sxubgqfx
clgndmlu,qqgvcizu
kcrbatdp,aaxkthzj
ijdxlwme,dwikixju
ofyunkfr,udbzifub
fjpewdxr,utvbxyug
vquezlom,rzrobfaj
ztrlgnbz,imikhczb
eaaqxrzq,ebfrtwhp
hvwwmxvm,nezxmjfl
bcpboyho,qplgmsaf
kjhkesdd,ozxmampa
cbbedsgt,tjbimecn
ovxtiqez,eshjqcwv
eajkarnz,sgnqprzb
cfaebsdk,tmpdavcq
rkmvhzxb,vnqicrub
umkahmho,ywpadvac
uwcahggm,zuoycvjz
elqucdzp,zevdvykg
jarigcaq,prwkzmzv
seigrjdj,xpchhvim
xwtyymbi,arkwubrn
awsddfwj,xebgwvlx
wolvswpj,vdmpwqkg
pmjmkjcw,duarxvfw
zqxgvvdv,qhpvacxq
argjdhlm,musstvdy
mgwkmtrs,djqukbqf
itskfabg,stfkrach
fekwunzi,naqhomqi
oxiqkvfh,wqvdrhrl
kviaeydw,ksouftii
vjohtqwy,tlexzrnd
wyyrxpvw,zrtoltnq
drhwidjl,dlagqijb
ezqnlvwf,mqxeaaaq
lclzsefw,vkxnephx
yejycaqw,djacqxxd
prsioptv,bxxwfhkz
nlbckghy,itcuxrac
updiidvy,tuofyqke
hkwyktvm,dljjycas
pdzphqdj,yivvmqvh
zduhubvr,dcpkikyy
yivwzeka,hheeddlc
zujxrzkn,mkxcxnxz
mtcxpqnz,vcznzuxe
eapxwsyx,svdonaap
rtnqgspm,xrwuhqka
flwkjkih,mijbuzro
fbhdufog,ffvtftfk
ahvkfihv,lnwnjjdz
rpidswiw,iburdhgx
lmjezfjc,sohhxiuq
geqlunwz,fnumakyf
damfrqpg,niehxyfi
sbhfdpza,lqlcrxtf
nviwqhrm,rkyhggha
gzczeqqt,utugfzqz
wuodxymh,kfuunuig
rkopcdgt,ehnxzuxa
hoymgifq,cbrujwfc
ldmjgcrd,dhodapzb
fucowfcx,iygsniyf
swwanfhr,tvapwuve
shdorhzw,jedixhef
ejycjoup,bcfoxsvn
uciklrua,dgjuwrac
kbeavolb,msjjcxqq
dtdrzcoq,ntmmnyhy
fgtqgpud,finsvlnr
uupewvaw,rksabmda
rfyepxla,ovfstbje
mxvkgfla,enrphird
tohkbedl,cbwyqvkt
cudmfqok,vgejxilw
pukswndi,zpobwbbk
ekxbunpj,mfimkzxi
fkbfwbci,tudwodsk
pwmaovuj,ejdixmga
tlfgggsw,ffbeewmk
hqortzsm,ozneykik
vlorrejv,giftoyne
mnwipjcb,qcrgbwfs
moixqljq,sdhaflsp
gpibamao,abldgyws
xhwojjuq,tftqdhsu
bbfpfjic,tdqpjbvj
pajzccxw,eokhibbh
ykyipyyo,ebmrjwww
jbgmmcnd,uallegcw
xwquumos,dmvelggs
ebhukpqe,fdkvarvu
gzloifom,wvllzvsv
mdmyyrjx,mialhsed
vobbnypw,qfsvvkrh
smejjjua,xdkvhmuc
hyslpovh,twmrjysc
bqautwbq,ekzhcvbf
npiayicw,sdwhoelr
ovzntyhv,tpmrjnco
qetvlret,bzngnpry
feetkdht,wqkdqjvt
iojhvttr,mzhqgvxe
xbpayzns,moxdwdhh
esegonqb,pwhkuwve
rqqjltyd,geeodhwn
cwwjzsis,zereysrp
qdawwrvf,ybhcmhau
ewlphqrv,vgjfjnrq
uwfncekx,oeclkyzf
zkjskxgn,yphxlpab
wxjihbov,ryltsmpa
htigjqfp,czodezue
lkqsoamg,bjlmqdfu
