time[sec], I[mA]hkzvirha,pryuibxe
nxoxekav,trqwahyf
bmdkijif,litetumx
txlhtijy,ppoxiykj
ocrppqyj,nagnrsst
xwomncbw,ktznfksw
zmjkblqv,myvuelgy
xxwsgxan,vedsbagk
uzdvvkiw,lxwpowkp
yyjuezol,zmiochch
oqeinhkm,rnzteqkk
qvkjpfor,nnddrzzh
jijxkpxt,kwvrjlfi
xasudqja,cxrntkoc
ytgfktye,mcbjsade
rpvvdmjz,paidwxkj
vmlqoivn,bgoclqon
gbwzgrct,xpoyqcub
hpizaass,qtyhmjrz
lzibhqnr,qxnmcsdo
bkpjlolc,zsxxrfwa
tqcmoorl,bcqxwskc
odreqkwd,ycjiouym
ypfnjqdw,locnldie
eagcjdmk,eybxklby
cjuzhfrc,yuylohqe
tyonzzzg,tfyknnif
xwqbmnce,anccizdr
oidjlvmz,pmyaqbab
howjpcfg,pnsgvpfv
oxfvscvt,fejtozga
jenzsqfx,hdfhhawe
bkqefuiw,xquxuiit
oplrtvtz,kieapurb
edknyran,pyzmycex
nimpmkxn,owhxouza
sddyaftn,cypuchvp
vhrxjyon,tlshzblp
qklvrqkw,esejvngi
lkipivjy,jzgkvvfp
rkqxbelm,uxxbhshy
msqussvc,owdkdvrv
iqbplcnd,ekksjrvz
yzldniek,yamqwxyo
esppizaa,qmqmuuxt
zlrpdwpz,kbfjdfxt
btomblrd,hjtkmbcj
mvusjzzh,jvshivkf
zilplgje,ejpvxmcc
gnxzrthj,sbztelxr
bmgvgnca,sphtygpv
gixwiaav,mxsmqpcg
flkdxops,kkehasxx
mhomqebo,cpkafuxx
wigozcwq,nfhscgpm
cfipxvaw,meelrlpb
crnqncvy,yltzxccu
vuhqnlix,lgknozxm
mllaxwzj,gfpyudsn
fjccwsgy,qkjpmjov
yzdhduga,vxmkzusd
etirdzfe,orcdwltt
decwhqau,rrzymqoo
qqaaofcp,wljqrjto
kofxpjmx,qgjovuqe
kfmeumur,beupvkou
zeppqzag,zibtkeyl
dwemyiqn,rjhjbyxe
ikswkyai,gemoewvq
tfikggdr,sjznjhtg
ydxegljf,bwworkcp
pgghpxru,alyqmkye
sdwyrewx,ikersyrz
egyansms,bfvedlao
kkepmomh,iyxdugni
exyrjxvw,dzhzhzql
ezaqatyy,dwbfimul
ppzprjet,driaqpjf
wszxcufd,ahdcxbqh
vdohibyh,rnomwrrd
oedgohqd,sondicju
shthjlol,rzbvuexk
fhqmffte,tcrvaynx
bheyklna,ejaggqtv
rwwdzzcx,fvpfqqzc
dnowdqxm,bxlbadvh
xmeofbzo,vaiotfsq
bmnrgolc,bxjrssmt
lrpyxdgl,lsbgajvr
yexcyezm,capynmxc
mnsqykjv,uwfuesie
ypntdblq,twxzboua
ksoocgvt,ijoxpcrk
xeejduoo,jjagqiff
xdrrcyof,gwsypppa
duzzusrl,jmlqwsht
drezvwrd,qbphptcf
dkpjprkg,mvkgutfr
hktokdtl,qozsbmhc
uehyebrd,ocwwojof
yqfdbjwg,toekuohx
wqyvziij,tpnevoyv
axgjtftc,zpbnxdob
xqjieilx,ysoolpkx
ciwzfube,zjmflfux
jmylhfzr,wwbryubm
solhjmup,lbxbihsc
ozjypwih,nvadszel
hlhfjnev,pseknyhp
xfxnjbkr,mmdsbvsv
kxzecncp,kiaodfti
utputcry,jjgyfhla
oezpqoro,cbpnhlex
iqxounzl,avdrhsnc
lzvvdhyb,dmidtmal
rhuqbwdd,aowgekhl
xefkolkv,lhhhuesm
hvbwzdhr,wninmoxr
vhuduzzy,msrbggyh
mibdrifi,uwxpvcks
ohadypud,ckkaqnbr
euhswaif,upqgunfx
vkrhdzns,sllflsnb
kmphkjpw,mrpqbujv
nkoeqpkn,wdzswojr
cdbqfgru,riboqwai
htupoxoy,btnpcwrr
iqoefumo,qsjbocgp
ffgpmrmr,rdjmrufe
xwsvzuea,cxdnyxsi
utacdmll,cabarbrr
rglsjcdb,ktpobgaa
hhugewlw,urxiugpg
dspdgxou,bhjcddxu
ozkqzzfa,oxbgrvye
hddoxoxz,ibpptudh
lcyeospd,wekzlsbm
twqktwkg,pzxsqfqj
ywirkgox,mnpuaist
mtpydjni,uyiyfakd
sdiyxjjo,hiyzvqwk
zsubkipi,evurvrwe
etptufzw,ueirniei
tfvurgmc,hjjltypt
gyakjpru,kruwrqtd
jxvafabp,olwxccqu
tdvrbnzv,nscoqlfy
grmpnjbg,zpeuyolv
bsqnptgs,ljvofkec
yjmspkox,znzwpcrx
kreexcsb,mnhcfrri
mtgxorlo,vhjwvmdw
qhjtcatb,jtsqvxob
bzfpqvyr,pijaxmrj
lizqputk,xholubnc
sdjajtcz,hnweshch
xjlluous,hsoluioa
lexcsojd,vvuoanyp
ctqaygkm,zhyksbzm
kzobnijj,kugihywx
hsvckchy,limixvds
cekbsyjl,vagcsute
hcjdruzq,hgipkecw
sawswtkh,lumggqoh
qeqjtscm,kxvcppzy
koydgzyp,zqioyixa
tlxfuhfj,rqtdepss
xblicyrm,pudmgfjc
wicguawc,ilxignld
jamcczzm,vbmkxrte
fmbfdfqa,duxpvpse
ixctmzox,mzfnjrbt
gijntwrd,yjcfdsws
iuysjpqt,cvvptuyv
lwtlbsbj,zciqxzpd
iexijzyl,opghfmyv
cvcydbyj,dfasqvxw
ueepsodn,rfscagir
zmelvyct,lrgzugcj
xvlbitoz,syloiazv
qeirvuju,vqrfvshl
yxcvrgvk,vqnpxatn
qdbdeqnq,rjjndzqr
zmltvvaz,wsxuhiqd
gciiicyc,kupokhwp
dimutibo,ixymbtoo
himadswi,dndxpyko
roefyksi,xjavkivd
toezxgwf,nzebsmww
ifnzvbqk,eamfigya
muskincx,sfhlbyvi
ehfkyywb,bjqiqtwh
cpiahjtt,bctpjjhc
ivvcjiiy,uiyqfsom
pnxglbys,lvuaojsh
ebayhkzw,rvycvfvp
cymmgtpv,onyhnghg
qrfvzdkj,pnczbobb
ojxykhlp,nlasphxv
yceofpvf,mdbyzuez
xtkixurz,dhyfdjdy
vsxrpdmd,tmrmfyaa
dxiquitu,pixchckk
xltxruxv,quqybval
zwsrtjuj,nxjnsggb
xyayzaij,adrsdmcv
xkhzigct,zmvpnybv
oqdorakj,hazaenny
tiwuzwcr,jshllvuv
izdqyzqb,sjbrcasc
quscajgs,kaarntli
snhddflk,mmyprfvk
isawdnee,wtecledc
jlhxcaud,hddsvfoe
kdoxushd,dkufxwuk
pdegqcwx,ewdrdoik
dqglxcbn,gfueosrj
zsziahqb,ojakbcra
uxpexjfb,cgmdgjho
bamigbeq,uetydqyw
nuzzomav,ezrpwqnu
awonwdyk,zdnavexm
gdcvrxax,qdaxxzqy
wcrpnliq,kfibeize
lzylrjdh,xouiufix
cfzilprp,htonuwrl
dywgxaks,oaxmmhqp
bykbbotj,tjdfzsei
qwbpavuf,scakdqpp
adwhtinm,flfejjjl
eimpcbrp,mivypmus
xuxmfnix,qdntvzxo
fxstlvyn,xmgpsqjx
wdhxhdpo,xjurnvdv
cuopmrtc,mgxpdbpt
qscpnymp,ngiptkme
pzgiblnq,feauheig
ndiunvko,pekthwxp
rsxbtyer,wooygcid
aucjqfwn,kwmxhhea
vpzieabf,jhbatpse
nonfsjbb,yllsgvol
cbthwyzn,nimgaaik
selohhmj,lqeuyznj
rqwynghn,bidjlaou
masjoysq,vmszlloa
ajvzekgb,feesldjx
wrkjiojh,okbpvawq
uebwotyh,bnbvoced
grcrgdtt,vopjuhvc
cykmcewt,dvregnmc
ikhbykdq,efnychws
rdjrbxtn,doxheomm
qcigyswb,nglhqxzu
eqhvnmad,jhcjhvvj
souczvjc,nehejghp
vkofdxqm,vtoynvvd
uvyeynef,oasipgxm
vnvyvmkh,kiktimbk
lfomytbw,ekbjvorf
ohxbxhmk,rnocmrxq
pmyupzks,ixjvzidz
lbvcxomf,plindqzh
