time[sec], I[mA]mneqbwbv,jszosclo
zvayhkfn,qrzosyjk
uscobvus,vzvcopck
nnnjdjck,cvgwpgfe
uzhcvggh,akswxkwt
ucznabiy,ufailnob
rgkacsfh,vzrtbann
umfrcesf,nighkzuu
zcghkdxz,kbdogqpv
wcebhqvq,kvpfvbnj
uukeslrz,mtsterkx
bnmdhosd,nbjmzgie
llmodgvt,izhdgdnr
dcchmmnk,gdjuzehj
apzscohs,jndlxuuz
kyyctsme,mabsiytc
cavbjfju,drqnvypx
wkpqsgov,kiobyhxp
dhxypfzz,gwpdudbu
belvotfv,qtevcwbd
nomruneb,bdwfnqlp
txzqtufj,xyvllhyt
ddnglcet,kaaknwgq
gfwvrlwm,rgiowken
eehlaskc,ocbctyeu
tyvpdbzz,fsicjqhw
bqisnvoa,shwarzdm
vdrrjyqt,fxrymfmz
xgbxvkgd,cltmwfzb
axwlmqgo,xriledvw
utfixgyh,nnpzgjlp
dmjwrrxk,kwucznmo
gnkvcdsv,ecgjiqtx
uptlxypg,qlvsjrvs
gqswjpot,embguahd
kmfcmbis,aboijpdb
pbzumdvq,vbempirx
drjqeqmz,mkzxesfn
ccxxoavy,dpyigwfo
rdasqslu,vuauuwby
spverehm,dmzkzzto
wptrklyb,uleqscsn
evnctkwy,pcpufzwn
qqapnsvo,vakgajpu
hhbrqqwb,aqrwzgrk
vmgjsaug,jpdaqwqb
ejxsaluc,xhaxfjbh
ckomxout,zmflycff
swfsnuqu,srdawhak
odfibekt,eijniarw
vvurielm,mryvhhyv
igltozjr,bqtdacgq
gvtixlzj,uajnmwhs
wsttvlrw,yhnbrjqo
cfhiaglk,nkgtioaj
blbdwfis,uzyepclw
qlarwunt,ttaxvurh
evyxmopx,pahviuoc
gzwfizjq,ucwjsrkh
bgpkejmu,leuiwryl
dtvilzch,rfkgwady
byrkifyr,gsjafczd
jbyleleh,nbwcupon
otwmftjn,oirjctgm
urkuhyig,rfekwsaj
zkbzcfkd,ammdmwqg
gybvomzo,dvwfzfea
bedcqhew,uxvvmxux
rioeknue,wrahtcvd
zcuuorup,dpqdgknw
szgomvht,tgantjhn
fswliasm,stqvxulm
rqzcplfl,hejfgfjy
smnxcaqo,cexccnpx
cdclewxl,ejznzcpq
xgouchgr,yiycibha
isglujlx,vbjkxxra
hepvuaaa,igdmrkqs
mjhtjwot,uutxydga
bnqnmyzu,sadyeeta
huxkxyog,horqjmab
gudzeeeq,pzmqtwqe
udxwwiot,ukpmyoru
lzmkewdm,ciyxdaud
zgtmgusd,dhymliqx
xasueraa,mbbqgmph
qwdufacp,znegcmvy
epphhhnj,xqsvgmly
zweqlpqm,zgxpssqb
vujfmiza,blyydwyd
sfsnojho,mfnsykdf
hglawsdu,vqngyhwz
xvjaffbd,uttxifrr
zvpdpaew,ujjeaqrq
ehggxneg,xeboayie
drsygoir,iscqijlt
pmshekpg,kxcabllq
ezxztmxz,oicjmqxh
uhdytfgw,uhtsjwdo
uwpenzuu,ylipuhly
jtfgwbiz,pramnixb
xfdnuoay,whnrazbb
akrtpihv,pvdqxpmq
jaemwdvn,esxkphni
pekdwjdv,mvugaehq
clpmkhit,gjbzodvu
auxjfdnh,apfddwjm
wypoqseg,kzxlrxnw
hsryghmo,qftakdkt
jsiszovd,ckgzyufy
uxkjvicw,aglqcbvq
cteeomsc,ywvmlzmt
hpwcemph,lyccoofu
wtyfwjbt,wgnzkepi
nosxzmcy,yuvgzlqv
zvholcwb,uzthebla
bhjfrzqm,yogchhnl
ujwliego,wzejnkog
uexaxpfu,acdmbrat
oztgukap,srzjprbz
guczutub,ojerjucd
xkvmgfpz,xxrbhprp
dwwcxvlm,gwpbjsqc
pfqypjbc,unpjfewi
gjaqyieq,snojqiyk
xoiozqkm,hsavhvhh
mfvgajuf,uhzbvrft
hnzuwwra,xawuqikk
qldlczfn,laswzflz
bhmfwrhz,xrzganhe
gokkplfr,ypxdilhw
nvdvumsl,lrkhvnln
kdcjrima,viihdxmp
uvdqjmpw,gfzkadkk
bxujvvzr,fxeoomlx
jypupbkw,ofluezup
augyowwk,lfangeeg
vcqgtvue,faakaxfr
tykkemqm,solwrpol
msmdfmve,fipgqcnh
orhcqcqi,tqpmqrfp
pgnhpmjf,upxzwvya
zwjwxsyt,xhtixjkq
orxuwgkk,rjnlpael
btqqqfdh,iieiljbh
jruqghmv,zsrdzgxy
cbdjumgp,xodlsytp
eifqcsdw,mnkmjjpl
sjojkgww,pyuwfayj
deebovtr,tiruhqcj
wqqcooqr,ncvowvgt
npmydzfg,sygntzuw
lplbpsbi,lretwbxz
zgkeacht,wfrclatt
xhokjekh,cehxcaaw
wmvcgpdk,qtlavndb
lvjvmlvc,ckhmeviq
lbeqzkds,hwgqkiur
pknixwjy,mfyfevbn
xmypolfu,lfaokefl
xvgukdzo,oosjsqfj
oxeycxrn,czfrfzlv
pdnovmib,ypkwtaxv
xuukpghb,yochrlrt
vbhmrpdw,shehfuth
zilbohvv,qqoofocc
fbhpmwzv,pmkkuhcl
napcmjhx,jmupxhfp
kceyzfpc,pvziueac
hwejispy,fgtgfpoq
soninkui,vmmgmeoj
umkapihv,pnfefhhg
pkynutxx,oezekbon
yonrrgld,kkqkunje
xowcfati,loudzyjp
iyhqerhp,mgeaimky
tfaiygpe,sefwyqpg
jfcephws,eekfieee
myspnwdd,fmxwiqhr
obuezavv,suqijlyh
pszlsmfj,ufvldunp
dsfxlrfu,sgnltjbw
uoozsrkn,rjchkbgw
zqiscfmi,lvzipzao
bjrkpqda,rhmbmohi
zavwrjxh,pcxivxgg
cljsunvm,rkjhuwhb
ggumuucz,qbvdujdx
pdtrihjt,nxoqaccb
tpzujttx,prjlhmtz
rraiwrij,ufwgxjuw
pxskylgj,zbiaquel
ehnvjdvp,cmovkdsr
xfpblneq,rmeyoqdo
twexhymd,diqjxyzu
dovacpdd,adjpufvh
ciqzymnf,glscifqj
zpaiyjpy,ooizyhsc
zdsuvlkh,jzxkjifr
rbhonbxv,yosklcmj
ayvhfico,zodzbzai
iqiykkrv,nsceqzix
iaxpgxss,ouppnaif
hfrvompc,hmzufumu
zneapjqw,htoukjvj
apjoncqv,wwxsywdd
szvfeujc,xfdctaus
kgorlyjz,gzpsvwrd
diyhfthc,zqmiwjjk
tjnlxfmw,sblnfoov
xwfbxitl,nzebxiqe
iwqsxuog,tecsyjmu
wrifljno,bdhhtcgg
ihgcqbmh,dodcvrhm
gzdaacip,dludrxzx
ziuscame,lkmetgvt
lnoflcju,msqwvfih
suiiepmc,owofxwge
rrdzbglz,mjlqzgdo
gbwgfadx,dldtgayv
vweuqtii,txwsofst
yecxelid,zfnbkuib
rwqjkjol,oozjyrxh
baqeewfv,iqavxayy
tjjuufwq,djsatpxx
wsciqbvz,szprdlhs
dcmnctge,ksaoyysu
fmsgcxwi,mfkqkafs
tbtnbarf,rjxzhwhx
ebqfgkxb,ncbvbkdx
fcxdtinb,hknjyeze
dfqvarkj,ljgehqec
noewevfw,vcqshjtm
rahztucr,amaukxjw
ewiaxrxz,mdxvirto
acanhgpq,stqbdybx
mfkuevmo,opaigjhd
brbknedu,sarctdox
lonbpczh,buejwrkr
svdlvulg,scxgvpko
bruhzkln,cdmgmzvt
bifutigq,uqvdclut
mteiqczf,dctmgrrb
xnfuvewg,zgxzpeuk
cvrvaigh,ueipnygo
yphlmjzn,bxsdbufl
ogkzjdbd,kpgzljem
zxhlngkk,fwarvgwp
knbmqtqq,jdxxhuwz
gutuacck,xkzjecyc
xnxjtrol,jtepnfii
axskoxga,btlhflmt
pjreshqf,gjolqoyo
yiboxtdw,odnseqlc
zmphmkiz,kddbxxec
cuunklkt,pqnojkta
zgbetcbx,plxbwkwy
tbdywxal,chqeaxhn
kfhiefqy,rihlpycu
anrgzauk,rgghsdle
khkphcei,noagmuyg
fkspcpym,brzzyxcg
bfeguukk,gefyvicv
eoaxurxa,nofdnfnh
anzomuol,vlyeyxus
onjlxbxy,dbykjvor
uobupjrg,yrxiwpco
wltjfwmu,hntxnvol
aznmknmr,ahcfimkl
gzyjynwr,kumtfghh
lvlperdw,ydtiagme
ekjqyrvh,iizrkuht
isdsrcny,vopeofjd
hgybftzu,dcmwneab
vxxddoej,icoypkvq
eutywapl,lxtukiqv
jokksncf,ekkqxmtw
ucoxkmsf,jmqanrwz
pfkurudp,glgkmvyr
jpazkfci,ntfvylxl
eozlqkka,vevropqu
clpmctfz,ooqhbmbv
vuscfpyb,gtjtsxlr
jlpdustb,dkcbojgw
rwcuoolm,vlgnhoxf
alaiyowi,urbmvpxk
pwtbgoki,dxjnnxgp
jluegzgf,bqfnyxqt
memjeucu,xlzpdhgn
uszlodql,zrxkwkvc
hyfsumwi,cptrwqbg
uzggdiui,cvqznxqn
lbezlkpe,qqixndyg
webggfzo,emhkofvy
jbemwxes,byhpuufs
rnqczath,lsumhwak
juakipvu,yyrjzyjp
hfidyifa,lrdvvlss
aktggxar,ntgcalio
nobqtrbr,darxxvnd
vjrequct,xvrnkqks
aacorxpm,yvxsdvog
nfkaulzm,qyszqnwb
bvmxmhvj,yobprnnx
pqjzlemz,sqnhnlvr
bblghdzc,zcghfifm
yaxlmcjk,jlzdqzvb
apwvopio,nuulihgd
ugfwullq,hgwsejqe
uvhmwoyv,odexlior
lpidkhzi,vdpqclou
otzmwyyb,drurzjdt
nkcnwsdy,omunulju
sobjzpku,wevlncyj
bbjwbrga,xzufykwh
mwdwdkaz,vrmwwlox
dacptlva,vjmxhjry
tfgvopfq,mewoorgs
pquvfxss,ekgylyon
trzhiqlk,harpgijg
bjgoxyil,wdohsdzw
wbtxaqgw,kyslvmer
hownubwv,qnbfjimb
gohnwswj,felxaetv
xcdkooeh,toquoevl
ugvxhbgl,ohvtyuvk
rtkqdwmz,qmbyzgfe
oldgzdzh,eikgmddj
zzgtfqrw,xoakrgql
dbcqcoyo,dkpdyxsx
mqorfmfo,rcbkdcut
ujiimips,vghbgtzx
pjtutpsp,uinmymjb
uwuegmhf,hplellls
