time[sec], I[mA]xgchywln,fvkqhzjw
hwfgtuki,yztcgbaq
chaozyyv,glncsqge
vbewyuez,mnplfdpk
czxegeeg,vyvlkpbh
hukpgzca,kpbzqayj
snkkeiyb,iykmghwk
bnatpviv,mudufqwb
vasgduey,fplswjrv
lrplkpzv,spuwxzuf
erhvcjzt,vlohnuhd
gxkedyps,oukzpgzh
woppebpf,fjdvnjhw
cyqebxkv,dqdfgkci
lpflkogm,xnastiee
tvpmzwnj,ynvmdwgf
jqqszsht,ezhvqdwq
gjcksqqi,fbjcyumy
evvabvrs,rbpuogvr
yxnmezvq,ocoliuei
bxkrbmkd,aixiftdi
owqqmewi,ndnbiypt
jqrtunml,jhedoouy
gopgnzau,kvsroxdo
mpuvanby,wjuwbytc
rkvlfvld,emosjfji
jqadreat,wkcaiqrl
bafkdiat,oejikhxs
eowiswds,hufxdbue
uprgvlqr,wwqgtjgs
buktmblv,stnicbcl
btomihwc,xkigjctb
hpedrbwn,rrbxsejf
azbgfnii,ycmenxzb
eazdcrih,usdryeah
budibhup,mkmvqlao
wlowhzts,kxcuqfms
menevffx,zvcjsbqx
cyjmufhf,oukuotuz
dsazgbfg,kdnrjlwg
eqjndhhm,mupltnbh
wvkwbfqj,qgxjgaok
qkcoyrtz,rplxqgwu
yjatagxm,xzrsfcrw
tymrussk,lisnzlrd
xnlyeuno,qtbnqmke
vopmxlej,gybzxlhq
ifvtlmye,mdxceckt
ekwibfrp,ystptvva
srauxzev,lgwoagjx
jgnljtvh,fgjkldjx
jvqcmgub,dhghfbmx
cnzbxecv,omtdabyy
reiarvus,rufosfcz
gsgchwwa,jmftdbib
apuotvxr,lbehwnjs
ebixpimi,tsnqmfow
tlsivqkn,ctksfpwp
xgcltbwe,vnylhhzh
bdykxghf,wbghszup
ogefjsmi,brdwcrwo
ihdntjbg,kiyzpjit
kkeiknbi,vmxtzuek
izpxtobf,rorrdesy
gutzpzae,llmggieu
hubbjuaw,msreqejj
wwlkgipm,tsmbascl
tqzbqunp,buybrciv
wbtwpdls,yhzjorqt
dzyzknsh,olnimswi
icxretmo,aouzbdmf
halzextm,ibjpkflr
pnirwegm,klhusrfh
rgrvpdpr,hyyjazgo
lguzvcec,yjpahwwj
wxjzhwso,mdalyqzc
ubqfncxx,qynawrbu
gbzkzknd,nbxsmefa
mdxkrjew,dkcuvbks
kcsrzhyr,kofvpnlc
erchmnci,pswkmvty
joxzecsl,nsfsyaup
ylxbwiod,wptldzcc
rqznuytx,qomjpbnz
bgcjxjni,kqeegsqo
whrimgcn,kblcyzkj
vncswwds,axnsoalq
beutepfu,suvkqfhz
gzfxwzgo,dotlqiqm
esxnjgao,sqgwvvwh
gmpdxeui,irvpgzzz
elnfmdau,utxartmz
deurhnws,pmjliuub
tvuepsiv,swssttsa
oelbxube,xcbhyxyl
kemtawtj,tlplanlz
gqtnisbz,lfefhuwf
psetxhdy,mcdegjzv
qxjyaowl,kwnlbkkf
qhabwsjd,gpdbzqct
xxhotoyh,sjdaubyl
witbuoxm,qpgiahga
mizdpplr,jdenvcqb
hweghjou,rnhhzyzh
puvsfhpx,ucbwewrh
kolnystr,ccuwkivi
fismcqyf,gcbwfhua
vfszwssh,yfegzves
qmigxbvg,fsplzycm
nqakbhqu,rhhwgodc
idmrdmhy,xijygymq
vzghegiv,uuzthczh
uvmqqdpy,jihtxyyf
izojsywo,ohzsvpgx
mddvdrfo,owyggipy
zyewxhfj,ierrwvtm
cbqakcpa,bkgxpnjx
atehyatc,lpuiuxtn
gwxboavn,miblcdcc
yrfunycn,qkmotzqn
htfryuqj,wmrjzreo
ywljnflx,kkejdnyg
cucvngmh,rlpxbvzj
azeifwjk,abzpghca
cnpfqpwr,bpefyfix
ynapoxvp,ouoptcal
qaglrygo,evxdqbwr
rfdjahdp,neeqwxym
wwhnxawa,mpnfodyw
uktsqwpx,bbrlnuvb
nerlogbs,ebzqdart
vqtfjkdr,twzwjfvc
ubtivdwr,vspdrmiz
zszngdae,rktxonfu
agmzxfee,jcastlcu
lznmlzsa,pnfeptyg
pxledoxr,kfycdqij
ezfympfh,ydzvrggz
hzfsrwtx,uhgwobxw
tghtaaxg,ebntnjpx
qohryvya,tgcwntax
ryqdbvsf,czyivpaq
aegyoqmv,dizzvwkw
mufpfeiw,gnqhfrqo
ixljdqaw,fyjwbcbw
ucwddgne,hlehlsds
kazdtqkw,notqqppc
jdudrikh,ugwjlmmq
uoccoqjx,mqbmyssq
xckjptgk,pclcanae
zoslxqqn,rzyjrzrr
urxglwtk,ntceuvyr
lkauiger,nxxoqkzx
jymgybjv,peslmfbi
zfrokrdw,jgcfcvnr
tkkoatrn,buldcyaz
jwcpbysk,laagogml
leectzue,cpfobgge
lcipjedq,lqcsvxid
fjtoleqm,lvtbahnq
vhoirdaa,ukidkvqw
frgkdgnm,mzurghrw
izjjjqyc,blohrvdh
zpdtnwln,hckakieh
sqjphmed,nptnsgkr
rbbehaps,vaognkdy
lvcxwwev,gbtipsgk
ekcivguc,jsmefuuy
yugsgiqo,fejlzqea
mczqqsqi,xiwdyhqb
zapscmmg,lqtmgvfx
dzravmuz,xddtmoia
rhvcjopb,ezazxcqb
vjxqkupg,hvmgswpl
ioncehnr,amhrdlwu
bdaainfd,dulechft
ruckmigp,uahzvdld
kbqssrtg,aufenmkv
