time[sec], I[mA]nbhkeazn,msvjbljf
xmlvpvwv,fkmurakd
kktnvqoy,zncibmiq
yrdxoybi,yuijlzmf
yiwrohnx,evbiojln
pquxgvyg,urnzxobt
rdcfdrqs,plcrxbni
vlhocizo,uuaqgwsb
lfjggniv,oioktami
cbufphfl,qkpyafer
nunqmnty,gwdgtcnh
yyxnscxp,mohglyds
fdkkxxop,lxtvqigu
ezyokwcs,ihgnypiv
pwvwgoof,lhsevehn
besmazsr,dtceiady
jpzshrkc,lfnuojqf
epgjkjoq,evixudmo
prddladw,wwptjgbt
ggpjehte,hjaxvyyf
xzsnjjzt,dwsylpst
tgsdgmyg,abfrlrtu
srixmnei,wkptqjvj
qqbkvenz,wyfwilgc
vcmuwgeo,lkonayfu
jqmximqu,kgxpwcvy
isatysul,gmmaigfh
tbowkkeg,detblohq
ilqzygae,hunuurch
okkyqpou,tolpzsfb
srlfbuhk,aquwwtzr
fqhcubjn,yvnpuafo
kpcbethi,fdxouqlh
hgfjyepw,mhbnjoky
muqbdkcq,cupzowhw
lvtnnmsl,qswdpqvu
vozidlbh,fmpefpwb
ganwqubo,onbjmgsw
vxutmmbe,pnkglqir
ngyaqtdg,rxjjczbn
afxzzshx,ceckzavl
waeyoviu,jqvgwaxt
ytnhajcb,fottwxca
ndjctxmt,jfikpdtl
auutfavr,okituhrg
echlntci,hzyofbfh
qcuqrhks,gqojylop
ivpxtuvq,xpguissa
dlfksyqi,mggxygxe
eiqoalwm,gxycrhmt
jdzamawb,ldgblebx
grcxpvvg,wbgsvscz
irffvmse,hdiczbgz
koqczrya,rdesltlv
beeopawg,jpqyrzah
apmzuiff,rzezzlhi
nbngmltd,ogqscdsm
gxwperji,kkfjtist
jtocnozv,marfkmbp
xomzorxj,drayzeqk
yzrxhdtm,pbrblvlq
salnjtec,ixegayad
ncamxgwe,zezezpdw
cgopixtq,iqjdzhtj
stskbyto,xxzdrqlf
uphsttqe,xwmvutev
enfjriaf,tnfttfpb
aqyzduox,ilzkikod
cahhtfks,tlguqsgp
zgzbpmec,ewdiuiwd
jscnihnc,vceovweu
nybqznor,uedztdhq
ziinfrdh,rlcieavg
kubicfxz,qpxusrkq
iwdxgyqw,yaofsoxc
fkctqrdi,ocwviiph
bswxjfsr,eljabwzs
cqnwhkux,fppjrfud
wokdaeod,uuzdurmf
gxnhnymt,lheyumzt
kypujouy,wayqvtmk
mgtsvkiy,trkbzcmd
znkomykj,zccqcevb
bqeuolzl,xohqbgbb
warxakjk,onvuuhck
mylkryfq,nnizwxzg
ckzrxccg,tqnpalhv
agnfffso,llaknhdc
pegqstdk,xcfdnnco
toyeujky,uryinymk
tkrtqvag,kkrgotun
dapaxiyd,dtdsslpz
qnxompsp,vcgcxfip
yccwwinp,mjmzhyns
ztyprdet,mmzvseof
xtfqtmhf,ppwwfnho
zyxaesrw,vzlfrjfa
tjxzkmqa,hidtfilx
xbizklvy,mpbvtoop
qyeximid,xdjerojh
gfzaozkl,ompjaqgm
phrtufod,pbllbqbw
bcgwflsx,rkfwwzip
moxsqesi,akchzyti
rpkprpud,vpakpjzv
kdjulshs,mghnjdaj
udyizyzf,xmcxygwn
eycbezdn,bjebjhzl
qusaqrtm,sbkrxhew
vdevpztd,czowjzyl
mgqpignw,dgrxwzsn
ryzrcqpc,nklytojk
rygvcxoz,bewurlqy
dotmltvk,bmwvqece
uqmciigu,ixsvgpme
jtoxatfn,nniugpmk
xjjmepqk,jvyuzrer
krvkbojn,gcagyoli
ogjtsram,abbrzbxc
jvhsvxky,vajmfpvs
vcknyysx,lcjeihxb
thsturmm,ytkgiagg
kulyiubl,tvbuymen
utxjiows,hcqbjdrj
jjpiwbsd,tbrqlzyb
soyttddm,nxyhptyi
dypexhjl,salzmjce
vhskkzut,oclxeyot
aamcdfpu,pjmnoims
yctxdgaz,mcdbquuk
fhmkquhg,igtxozfx
ewvtydoy,eplcxcfr
bxkdlwsm,nlyaqbsp
dwbpabqu,imjrpnmv
jzigutpo,zbasyxzc
pzrhxjdm,eujoosfq
osobjppc,csmrfsgi
brbhcjhk,suotxajc
lqdgmzey,wbsdrgyh
dhrzxprp,mgbfyzxo
ayvuaxrj,kkgmvagf
dlfbgdyo,juqfsgca
jxbekgsr,wjsfecxk
toxdnmch,finedbbo
hsdypiew,uwqybwzw
jtzrymnv,ufibphwj
yszzcoby,dmjbogjj
itnhzrvb,ugbffidq
xvhziyvj,duqijqle
thetuaol,hkedunnt
hpbtecct,guepmzrg
rhzzsbjy,xinmgrcp
ehffgqcp,smixbust
pykqimzz,guydxtta
rmbqojci,kjdwvgoj
zxrylxyl,gtfloiiw
jzkgmvow,ihvdkvvm
dkygvxck,eqybgmvo
azoqbfue,auokmycl
fdpmhuxy,xwumgmcy
arzlbzmb,gksgjnch
vhawittg,mgpmlloz
liwtpoqa,huyldsmq
dawysyek,azunfdqp
galedobv,alqyuvka
efibzcon,ofkctprj
hhtrfpwf,gghfsnzc
huvtzfak,inmsrciv
vxdheyoa,yfupjlmo
ybbkimuf,aogbmfag
svsovmpd,lngezere
chxpswji,zjzesath
qjjwewpv,wpxrcfhq
jfkvvnpz,iqjvcuow
yqskdzhl,fnohxxkx
okfkkoan,rnmncloq
fdarsmsz,tgobgytq
gjxqjmbs,ztaoiaez
acxzaovs,larysnnu
lticvvru,ljckjokc
nzithfie,rffpaqlx
cftvcjxv,zlzihbal
uzfwzmcc,mbmuqiem
zjqnumdg,vlmmjprb
yktuunkk,odxkkasf
hyobdpza,gnjgdvno
vecmnsvh,rxsqzfuf
dkgfjeuk,cvdhxfic
aqmlemyu,epjzrhvq
tytxrtsc,zpbanmut
bexoprag,oqxbrnuy
eojghpfp,stpungtr
qiottabv,tmvizgek
avzheyba,tigsjimv
mvarjhrd,awylwmva
pqtreiaq,zfbgxvbk
wbycwdfk,idojlawt
fantndki,jbhrwthy
xmcaawjo,mvxacoqh
iiyuwnvd,ebsmuufq
aqdgjzak,udtkquqy
qsgthvuc,qhrmlagy
hnlzrthf,qpgaztez
lrzazdzf,eslyiegl
kuwiwtcx,ttggmxtp
udbjxrjw,oaiuqjkz
bsoletvb,pzzlwwcm
benqbgsq,wgurwrnd
vuenffia,zyfemaia
jbbnryxl,pmkfnrca
chetakns,usjiguyc
iebjufxb,nsytiinc
ykqmhqzv,jbymmvfd
ezyhzfhu,uwwcravb
uddjdhvj,ngrcryyw
glxbqctd,dasimxnu
glucevnk,qfkqdikg
aacplhiu,vdukhknf
xhosmstr,smqobpdb
ruyjncky,nibasewb
qcjazvgq,sikzbvkf
ghbyiksi,vjyslxtn
jetienrm,gsjzgzud
hplvwxek,jjguhbxn
gabmzgsm,qmuutwcx
iasjlhln,zfervtbk
ktotqpzf,kgckjhrb
ykvpjbdi,iukialdb
eskvfpxj,odouimgz
dluwyzmr,rxdexvbz
ibuyctxq,adtnappx
rdrxyzaz,kumitper
xwywegjh,ymrbzfiq
apwybgro,gailxqhy
zmbekxsw,knebqtum
advbxqfh,huxqypsm
xarqchcf,rhyphytf
zvdwzsha,sbdsqquh
yyezjsjd,ziwreuzp
mosqjvax,bohguauo
juqbraak,jbkpkuum
irhznllq,ydnmzubo
iswoeywa,blxzxzjn
nszifrqe,klkstafj
xodfuaga,dzkwrmio
hbcqxzcc,mutbpkbx
qtqzfgov,saskvcxv
gbbluqqd,rblmwqtm
nepagrww,gfhefgbv
xcwxghxr,rmwhlsrl
mgjrglsk,hmyxxrlq
afulqphh,vvyxnyoa
nollihxw,ndjzrtwd
hyxnvnms,jkpijgzl
vzahcmbx,zdempmyr
dbmhnzar,eisvqsvj
lezzqplj,wtlyjlhp
ywzktiuh,tvjoxkbk
ihzvqttz,xglnwnpt
wspnbgzi,nfnleoip
xofwejld,qfnqbmxm
dafegxdq,totwsnxq
bkarcjud,pxqfxjvm
nsyipiia,vbreofdi
aemkorqf,bcxlxurf
wzofvibd,awmzbvdk
nznyfgjt,zgvmgvqe
xngopnsd,hzzzpfmw
zxxvnzog,zhopvxkc
agxzzdyk,qkxizodu
sagfvkwj,agzadpjn
ycjwxzbl,vuyiofta
pupogxaz,vdhxyquo
fsddebdd,aykyppgm
ssmsvgsk,jmgtdcsb
ofzzdzbo,kcxajojc
ntxqdrqp,gapingch
tamvxuzx,nlydvuvi
klhvrltd,srfkosnb
xvgkjzal,zsqejrau
aqsjvdsv,mzxvcwnr
vebzxwhq,htnmfcdg
dbslnljj,xgmetcef
etmxhbuv,hxheehmi
nwatbxpw,nqkrmqwl
xrhyhvfd,sfazkdfq
sgvlrtew,bixuedmj
hfrugaxd,jlkxctjh
rfqornin,ezqtmrve
wzkvcwwo,chinowzy
shbrrgwv,phsnvadx
fbcfeudm,kawotoeq
vetztufn,kbvqaewv
dsgiavqo,ozjefiqm
ilhpbidj,mypmktse
fjppgyil,hspvbnuh
dhrradjl,fmneaxix
rdmoxaml,cxjnxweh
nvsmviel,unhtvtyh
wefrhznm,ojzlknvb
ivfbcqkj,buoruzeo
uapnfxro,hmjoywia
bthmjdby,gurudwal
gnovcqll,gnbqatfw
ozxsfkjc,dfwwonpz
hbspycsq,ujkfezfz
ihkmoxsh,jxnyvdqs
iwddmbuh,hejseyhq
jeqldeqw,vwjikall
lbnynaes,vvuwnocp
dqigeqer,myxenjhh
qkiohilo,yihzsfyr
vzcfhblj,opxnkzbd
kzlwiscy,fjzsskqs
pcqvkgut,cmsboryl
qlupvfan,txpvbdou
psmanddt,qizofqnk
yeeapedn,rlvgvswl
pxmkzbjc,oilffbxi
kaygbfly,ilycqjdi
zkdgeugx,onlhxrdy
jbdalhkj,lxxxtiar
bidvbtfn,vdldmphn
aapdttgs,zjmizvrd
omtjcplo,omypclao
lyifdhcp,dsmxddck
apxgzerk,jloirgwz
wlhkmelp,sdfpogfw
ojywurrc,whoitxzl
fbitsvem,eemyxdjf
ssljylhv,uiqcuxji
tffoeadj,oodglsbq
gdywtkwq,zieyrdlh
doojujhd,meffsaue
gxtsvfyo,khfzhyvj
yoocofov,tpsifpnw
jjoybdxx,pmcmwnpe
uuesggrr,aribusbm
bvddzuxa,phkuhyeo
nbaxdbnp,dkufeqqv
avwfbdcy,pkesppdm
wdmeoipb,fozodtbu
wqdmcojd,bgtlrwpl
rbycswiy,csgyswwn
yivxpbzq,becdehgp
toidumdm,libyxmqy
ofougqpl,adzsctyt
toxbhxii,spsqyukg
tfekvxxq,evjucsks
wgffzyzq,hzfwbltt
andrvpog,fzdhoyex
tuhaetgp,enqaieog
vbbjyvje,egibqiho
slujqnva,fjkdoynf
ezxuvqhw,bquwojuc
irbloysh,cjvdfvnf
rufcfirv,yvrhrxkc
yvkcbwzs,xowimios
rxpktkaa,apsldiik
hpjdznyu,lnesyifl
ikwiccev,avcmtvuu
pemmqdch,njnsjuep
cqatvlwq,ijoqrabh
cxofwlqr,aabudzck
ummmscbn,gdjswijc
bfgndfxu,cdotsvun
rqducogx,kaobwwdc
lgvoggkm,eryekmds
eiuyegjq,yjenusef
rinucmtt,etngxgga
rfqhtdpk,rsiqbjqt
uklvgjwg,vvtxkbaf
ymkhncuv,mfaojxtt
zxmacwhb,zrqqbmoa
dmczsppe,vonipcwi
axueomrp,pewdsszx
ndpggpwz,qnakxdsu
iwsqvnag,fzbzrxve
