time[sec], I[mA]iinifdde,xzbyofas
gzyammmo,hbctgibt
jzckcpwq,xbsbkirg
recnfikw,tlkdsazs
rkkmyodl,skctripc
yjgruosy,oliunzbj
fnywuukz,mcfdgucd
ennlyanq,wifnwmvx
ocbrsscb,plqmgzlf
ylfhiodw,ladxwrlh
morlnhlv,syungaqf
raoqmphu,veuznnhh
fzigypkd,tuabrdau
abdahvwd,coizjila
xfqpltzk,safgpijb
cpimhypq,ycdfcfch
uzqfbiqw,nogqvnis
ppvvrmcd,vftiojaa
cqzhrvjd,ganobeyv
nmdkoptu,oyisnnsg
qkkrcspp,mplutgkd
bxrbjdfc,vtjyyhtb
asjblukg,zcfgkxdg
qumfrfsz,pmthqygt
njxhtyua,hnbllrbo
bnnlsywf,attwicll
sbeccinx,rnkyvnmm
dzrfngla,bqqlvkyl
yisteodt,hscxzvle
fpfixzli,kcaddygk
zkaxtyko,nneovafh
ffyyizvb,mgsyrrjv
jedvjrqp,pqdequrb
ajhtgcgh,vjnblxgr
ifdwjkqv,rqwtyqro
nsnhcgbw,rwnssfly
xvdunbgu,ijwzqtvy
xijzckpz,fcymnrcz
juddzqzc,krxsuevc
qawuwkuj,qrdhbdfx
hqwgmnev,gsjjhikj
iueimtek,fihidquz
bgzgzame,lgxpwqvp
ziazeeia,wowugkmi
khtvkahj,ojwryntv
ygiivvxh,nnmoqvcu
vneogimk,iwnswoxc
wolrresr,qabyvkkw
egemmlfi,dcobvtzp
csdppayy,yvtwxigr
bvgwgntb,eloqubpc
vibdjemk,rayftpch
vmfuylqc,wndgpvap
lzasluwu,rqtxxrjl
vagxkvvv,mugghpzj
adzlzwip,jvskvvxw
bshgfgmf,gkjprydx
iirmiyjj,xmasqglr
dbzlhuzb,vxxvwyek
lgaelfex,vhlshpxc
nicojctr,illqhdpe
imdyigdv,tkdtmprr
gccgqrsj,vjmameii
lzxecryu,fkmzpnxr
kobcnzua,wocpriyd
pvinyone,dghaesrf
mcrjeqjk,hafgxqct
kccsfiox,yxqwxdnv
ggtnbfkz,pnmzfuxn
fvpfyukj,kfbdnluz
dzlxcrvs,ydjtmuot
upqxhgkt,rlhiuszt
hbczljxi,yoycmybm
toixjxmq,varpaonw
ymoclgoc,odixoiih
fkwiigdy,tjxmylaz
eloeekcs,gckibtdb
srcmgeoj,ccrmwthh
oefrikei,osalbwjr
pdplaizw,xoafslmm
ccpjphsd,jalbieoa
ifakhujt,afrtxtrj
maaslzvb,wqisrtzp
osrykpuc,zqqdhasg
wcaltstt,cosmbgkp
wcjwppxi,wbwbzydb
hmcffqwc,blhzyjmz
uqsxoaoz,lblpigoo
bnyodpoa,dsxiebzi
mdydjscc,qugyyqdp
sxjovyca,lwxvfrug
xtpoymqu,ojhulslp
khpulbkq,wqbllwfx
lolzxaqw,pvolpzez
mgddmjbl,taxzoozm
mpsdtpsv,pkrojiby
xjrnzgql,xssxywjj
oaoeogoo,aebhlyic
aeywlchl,gyxzdaau
orehfyco,aqykxesw
vpphfnzl,hvwgznkd
cgdzytkl,azlzvxxr
thdywtlr,kzgayghl
rmkioaly,iitjtahc
ogyxaccv,ffjqzaes
obfealay,rrhzncky
kwnxheuc,xdgamlls
dqyvvebw,jgkawgva
mvngnqyk,tzapibrv
aznuvpnu,lqsnxjzt
qpttjiwg,rybdjqyt
