time/s,I/mA
5.810069853225286E+002,9.2241680E-005
5.811069853200024E+002,9.1859794E-005
5.812069853174762E+002,9.2368973E-005
5.813069853149500E+002,9.1796144E-005
5.814069853124238E+002,9.1159680E-005
5.815069853098976E+002,9.1668859E-005
5.816069853073714E+002,9.1796144E-005
5.817069853048451E+002,9.1859794E-005
5.818069853023189E+002,9.1032380E-005
5.819069852997927E+002,9.1032380E-005
5.820069852972665E+002,9.1350623E-005
5.821069852947403E+002,9.1159680E-005
5.822069852922141E+002,9.0777801E-005
5.823069852896879E+002,9.1032380E-005
5.824069852871617E+002,9.0714158E-005
5.825069852846354E+002,9.1286980E-005
5.826069852821092E+002,9.1159680E-005
5.827069852795830E+002,9.0841444E-005
5.828069852770568E+002,9.1732501E-005
5.829069852745306E+002,9.0395908E-005
5.830069852720044E+002,9.0968737E-005
5.831069852694782E+002,9.0268622E-005
5.832069852669520E+002,9.0714158E-005
5.833069852644257E+002,9.0968737E-005
5.834069852618995E+002,9.0077679E-005
5.835069852593733E+002,9.1286980E-005
5.836069852568471E+002,9.0650501E-005
5.837069852543209E+002,8.9950387E-005
5.838069852517947E+002,9.0268622E-005
5.839069852492685E+002,8.9886744E-005
5.840069852467423E+002,8.9250265E-005
5.841069852442160E+002,9.0459565E-005
5.842069852416898E+002,8.9695801E-005
5.843069852391636E+002,8.9250265E-005
5.844069852366374E+002,8.9122972E-005
5.845069852341112E+002,8.8932029E-005
5.846069852315850E+002,8.8932029E-005
5.847069852290588E+002,8.7977329E-005
5.848069852265326E+002,8.8359207E-005
5.849069852240063E+002,8.9186622E-005
5.850069852214801E+002,8.9568501E-005
5.851069852189539E+002,8.8613800E-005
5.852069852164277E+002,8.9695801E-005
5.853069852139015E+002,8.8486508E-005
5.854069852113753E+002,8.7850029E-005
5.855069852088491E+002,8.8613800E-005
5.856069852063229E+002,8.8804743E-005
5.857069852037966E+002,8.8741086E-005
5.858069852012704E+002,8.8741086E-005
5.859069851987442E+002,8.8868386E-005
5.860069851962180E+002,-3.7320922E-004
5.861069851936918E+002,6.9137801E-005
5.862069851911656E+002,9.0395908E-005
5.863069851886394E+002,9.5296746E-005
5.864069851861132E+002,9.7842618E-005
5.865069851835869E+002,9.9115561E-005
5.866069851810607E+002,9.8606382E-005
5.867069851785345E+002,9.9433797E-005
5.868069851760083E+002,9.9879318E-005
5.869069851734821E+002,9.9815676E-005
5.870069851709559E+002,9.8797325E-005
5.871069851684297E+002,9.7906268E-005
5.872069851659035E+002,9.7842618E-005
5.873069851633772E+002,9.6760625E-005
5.874069851608510E+002,9.7078853E-005
5.875069851583248E+002,9.7078853E-005
5.876069851557986E+002,9.5805910E-005
5.877069851532724E+002,9.5996853E-005
5.878069851507462E+002,9.3896495E-005
5.879069851482200E+002,9.4023795E-005
5.880069851456938E+002,9.4087438E-005
5.881069851431675E+002,9.3005452E-005
5.882069851406413E+002,9.2496266E-005
5.883069851381151E+002,9.3005452E-005
5.884069851355889E+002,9.0905094E-005
5.885069851330627E+002,9.0968737E-005
5.886069851305365E+002,9.1350623E-005
5.887069851280103E+002,8.9950387E-005
5.888069851254841E+002,8.8486508E-005
5.889069851229578E+002,8.8995679E-005
5.890069851204316E+002,8.8104614E-005
5.891069851179054E+002,8.7468150E-005
5.892069851153792E+002,8.7277207E-005
5.893069851128530E+002,8.7022614E-005
5.894069851103268E+002,8.5495092E-005
5.895069851078006E+002,8.5495092E-005
5.896069851052744E+002,8.4413092E-005
5.897069851027481E+002,8.3840270E-005
5.898069851002219E+002,8.3712970E-005
5.899069850976957E+002,8.3522027E-005
5.900069850951695E+002,8.2885563E-005
5.901069850926433E+002,8.1612627E-005
5.902069850901171E+002,8.1230733E-005
5.903069850875909E+002,8.1421676E-005
5.904069850850647E+002,8.0339683E-005
5.905069850825384E+002,8.0085090E-005
5.906069850800122E+002,7.9130383E-005
5.907069850774860E+002,7.9257683E-005
5.908069850749598E+002,7.8366618E-005
5.909069850724336E+002,7.7984740E-005
5.910069850699074E+002,7.7793789E-005
5.911069850673812E+002,7.7411911E-005
5.912069850648550E+002,7.6457203E-005
5.913069850623287E+002,7.5948032E-005
5.914069850598025E+002,7.5120617E-005
5.915069850572763E+002,7.5375203E-005
5.916069850547501E+002,7.4929674E-005
5.917069850522239E+002,7.5247917E-005
5.918069850496977E+002,7.4165910E-005
5.919069850471715E+002,7.3147567E-005
5.920069850446453E+002,7.3274859E-005
5.921069850421190E+002,7.3083909E-005
5.922069850395928E+002,7.2511088E-005
